dataset_id,dataset_alias,method,method_label,accuracy,macro_f1,auc,log_loss,brier,ece,training_seconds,inference_seconds
29,credit-approval,ft_transformer,FT-Transformer,0.8692307692307691,0.8665519593232066,0.926911544227886,0.3380359964032116,0.19569988219752107,0.07073969908254152,1.0389979771804065,0.002483284752815962
29,credit-approval,kdb_1,KDB-1,0.8711538461538462,0.8678972055970819,0.9275112443778111,0.3561525957086612,0.2019326314059639,0.07835996774882657,0.006460199784487486,0.009675292437896133
29,credit-approval,kdb_2,KDB-2,0.8826923076923077,0.8802797737577294,0.9288605697151425,0.35142451446050715,0.19045921025719476,0.06569942913197473,0.007776312809437513,0.010069950576871633
29,credit-approval,kdb_3,KDB-3,0.8826923076923077,0.8801647395819077,0.9254122938530734,0.3622443027844839,0.19370932072940789,0.06301828592605116,0.009447051351889968,0.010542649775743484
29,credit-approval,lightgbm,LightGBM,0.8692307692307694,0.8669536867752692,0.9355322338830584,0.3263596003432574,0.18741274574042166,0.06917899756643289,0.10024357517249882,0.010886775609105826
29,credit-approval,nb,NB,0.8692307692307691,0.8660623625030966,0.9233883058470764,0.3905551272855966,0.2095245769466374,0.08523541494532347,0.005226793978363275,0.009126361552625894
29,credit-approval,tan,TAN,0.8596153846153847,0.8557567368501422,0.9152923538230885,0.43135076033720204,0.22140003912718428,0.09449366563101405,0.006509694224223495,0.009888315526768564
29,credit-approval,xgboost,XGBoost,0.8634615384615385,0.8609278853442189,0.9295352323838081,0.4507332599312971,0.21164267046762833,0.10382253345191035,0.09084669039584696,0.007049659779295325
36,segment,ban,BAN,0.9533141210374639,0.9531874486776697,0.9976183204195805,0.15127479167708607,0.0718152110562196,0.02839856878952483,0.029515737434849143,0.14375810483470558
36,segment,catboost,CatBoost,0.9815561959654179,0.9814204261424745,0.9996595091080778,0.04728894002658498,0.025265190424406326,0.01700233895623866,10.100262908404693,0.0022336436435580254
36,segment,chow_liu,Chow-Liu,0.9181556195965419,0.9178039206557413,0.9922478831795363,0.23743135134352,0.12068788513303337,0.031627638261030745,0.19306125533767043,0.11707473793067039
36,segment,dbnc,DBNC,0.9487031700288184,0.9485586739432342,0.9959775439117994,0.16040280163435222,0.07906511763000094,0.020933402335309527,4.800367901707068,0.004505425458773971
36,segment,ft_transformer,FT-Transformer,0.9688760806916428,0.9688444011861099,0.9982457569215548,0.09710593007389184,0.045064827360368556,0.019119572417759703,6.533002266986296,0.005178487254306674
36,segment,kdb_1,KDB-1,0.9590778097982708,0.9591301537038825,0.9980254403862128,0.17931468792581967,0.06741712180212497,0.029715942378417504,0.025452073523774744,0.13759637298062444
36,segment,kdb_2,KDB-2,0.9533141210374639,0.9531874486776697,0.9976183204195805,0.15127479167708607,0.0718152110562196,0.02839856878952483,0.029509275546297432,0.14366219080984594
36,segment,kdb_3,KDB-3,0.9429394812680115,0.9429038618234726,0.9962431868861126,0.3327003943828556,0.09362740530804506,0.04048228517253562,0.03289446528069675,0.14874433102086188
36,segment,lightgbm,LightGBM,0.9844380403458214,0.9844217082989049,0.9997476903774671,0.05884511086345852,0.025104059446565723,0.013029764764206347,0.5948593930341304,0.03697414654307067
36,segment,nb,NB,0.9095100864553315,0.9086190124618083,0.9890623347240248,0.5335971776699381,0.15347383181505134,0.07229177752225256,0.021419899864122273,0.13071614424698055
36,segment,tan,TAN,0.9556195965417867,0.9556236219543986,0.9973233886599179,0.18071488532444535,0.07406646034406035,0.032631030503609555,0.02629614700563252,0.13924701595678926
36,segment,xgboost,XGBoost,0.9832853025936601,0.9832506931734682,0.9996581732957571,0.04893680378235845,0.02375690506804662,0.016905117624347845,0.7668998915236444,0.008831595769152045
37,diabetes,ban,BAN,0.753448275862069,0.7087574937129192,0.8181138211382114,0.49653917511462786,0.3272530106345767,0.07940926306772705,0.005116823175922036,0.007243421813473106
37,diabetes,catboost,CatBoost,0.746551724137931,0.714733480288154,0.8081300813008129,0.8077169609580622,0.39687185804931785,0.17740246253660436,0.6196313935797662,0.000875829765573144
