dataset_id,seed,variant,acyclic,edge_mass,incoming_edge_mass,parent_limit_violation_rate,threshold,thresholded_edge_density
1590,3,full,True,27.36947250366211,"[3.2630276679992676, 5.009286403656006, 2.537576675415039, 1.8009111881256104, 1.5258595943450928, 0.8222701549530029, 0.0, 0.2021252065896988, 1.2387970685958862, 0.6059377193450928, 2.579796314239502, 2.922513246536255, 3.6204962730407715, 1.2408733367919922]",0.5714285714285714,0.05,0.4835164835164835
1590,4,full,True,23.940580368041992,"[1.2633872032165527, 2.751537561416626, 2.0900752544403076, 0.6600115299224854, 0.8937367796897888, 0.28808867931365967, 0.6433780193328857, 2.7829880714416504, 0.6350817084312439, 1.0458741188049316, 2.804830312728882, 2.5283219814300537, 5.55327033996582, 0.0]",0.5,0.05,0.43956043956043955
1590,1,full,True,24.568326950073242,"[1.6628596782684326, 1.1211254596710205, 1.6614872217178345, 1.6593151092529297, 4.169079780578613, 1.2537833452224731, 2.9616541862487793, 0.5132399201393127, 2.909390449523926, 0.2888052761554718, 0.8984498977661133, 3.6768946647644043, 0.0, 1.7922426462173462]",0.5714285714285714,0.05,0.45604395604395603
1590,2,full,True,23.06884002685547,"[1.1802887916564941, 3.4780466556549072, 1.6018457412719727, 1.661233901977539, 2.3721630573272705, 3.2146966457366943, 0.855894923210144, 1.1688045263290405, 2.4209558963775635, 0.4557483494281769, 4.090808391571045, 0.35374200344085693, 0.21461106836795807, 0.0]",0.5,0.05,0.47802197802197804
1590,0,full,True,22.106590270996094,"[1.6694523096084595, 0.3301694989204407, 0.865886926651001, 0.8879090547561646, 0.302120178937912, 0.5890458822250366, 1.6213889122009277, 3.042483329772949, 3.670135736465454, 0.7490075826644897, 0.9593102931976318, 4.949691295623779, 2.4699888229370117, 0.0]",0.42857142857142855,0.05,0.46703296703296704
1461,3,full,True,11.2648286819458,"[0.34417062997817993, 0.33182352781295776, 0.05873765051364899, 1.2601709365844727, 1.5522511005401611, 0.35054007172584534, 1.8568339347839355, 1.5864362716674805, 0.3063909411430359, 0.4825378358364105, 0.13147848844528198, 0.9120082855224609, 0.0, 0.3493361473083496, 0.6254256963729858, 1.116686463356018]",0.375,0.05,0.3875
1461,4,full,True,8.464143753051758,"[0.22643087804317474, 0.5073618292808533, 0.13326546549797058, 0.5458459854125977, 0.27011576294898987, 0.2539075016975403, 0.0972726121544838, 0.18518683314323425, 0.4288419485092163, 0.6481097936630249, 1.2064299583435059, 1.917716145515442, 0.91343092918396, 0.779352068901062, 0.0, 0.3508753478527069]",0.1875,0.05,0.29583333333333334
1461,1,full,True,9.425979614257812,"[0.19523054361343384, 0.29728007316589355, 1.0863664150238037, 0.0, 0.8987884521484375, 0.9771786332130432, 0.5796338319778442, 0.210779070854187, 0.9660658240318298, 1.0957425832748413, 0.6276634335517883, 0.34522363543510437, 0.08883126080036163, 1.579639196395874, 0.051434408873319626, 0.42612224817276]",0.25,0.05,0.3541666666666667
1461,2,full,True,9.093727111816406,"[1.2196682691574097, 0.2187739908695221, 0.23331540822982788, 0.18056437373161316, 0.45904818177223206, 0.9873908162117004, 0.8417242169380188, 0.23659063875675201, 0.8039509057998657, 0.8139381408691406, 0.42999011278152466, 0.055211953818798065, 2.083724021911621, 0.0, 0.1555236428976059, 0.3743129372596741]",0.3125,0.05,0.3458333333333333
1461,0,full,True,11.608258247375488,"[0.014116264879703522, 0.9112142324447632, 0.2926788330078125, 0.3402716815471649, 0.7479777932167053, 0.1424407958984375, 2.0779683589935303, 0.0, 0.13844937086105347, 0.3603937029838562, 1.37368643283844, 1.5542558431625366, 0.4593897759914398, 0.2617480158805847, 1.0187394618988037, 1.9149271249771118]",0.3125,0.05,0.37083333333333335
